  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.2708, device='cuda:0') 109.375 108.375
tensor(0.2555, device='cuda:0') 109.5 108.3125
tensor(0.2388, device='cuda:0') 109.625 108.3125

 14%|███████████████████████████████████▎                                                                                                                                                                                                                        | 14/100 [01:37<09:58,  6.95s/it]
tensor(0.2122, device='cuda:0') 109.875 108.1875
tensor(0.1781, device='cuda:0') 110.0 108.1875
tensor(0.1434, device='cuda:0') 110.125 108.1875
tensor(0.0793, device='cuda:0') 110.25 108.1875
tensor(0.4846, device='cuda:0') 130.625 131.75
tensor(0.4805, device='cuda:0') 130.625 131.75
tensor(0.4722, device='cuda:0') 130.625 131.75
tensor(0.4614, device='cuda:0') 130.625 131.75
tensor(0.4532, device='cuda:0') 130.625 131.625
tensor(0.4441, device='cuda:0') 130.625 131.625
tensor(0.4240, device='cuda:0') 130.625 131.625
tensor(0.4233, device='cuda:0') 130.625 131.625
tensor(0.4478, device='cuda:0') 130.625 131.625
tensor(0.4191, device='cuda:0') 130.75 131.5
tensor(0.4090, device='cuda:0') 130.75 131.5
tensor(0.3755, device='cuda:0') 130.75 131.5
tensor(0.3401, device='cuda:0') 130.75 131.5
tensor(0.3030, device='cuda:0') 130.875 131.5
tensor(0.2539, device='cuda:0') 130.875 131.375
tensor(0.2287, device='cuda:0') 130.875 131.375
tensor(0.2324, device='cuda:0') 131.0 131.375
tensor(0.2577, device='cuda:0') 131.0 131.375
tensor(0.2741, device='cuda:0') 131.0 131.375

 15%|█████████████████████████████████████▊                                                                                                                                                                                                                      | 15/100 [01:44<09:50,  6.95s/it]
tensor(0.6086, device='cuda:0') 110.5 111.3125
tensor(0.6119, device='cuda:0') 110.5 111.25
tensor(0.6100, device='cuda:0') 110.5 111.3125
tensor(0.6089, device='cuda:0') 110.5 111.3125
tensor(0.6014, device='cuda:0') 110.5 111.3125
tensor(0.6246, device='cuda:0') 110.5 111.25
tensor(0.6000, device='cuda:0') 110.5 111.25
tensor(0.5735, device='cuda:0') 110.5 111.1875
tensor(0.5377, device='cuda:0') 110.5 111.1875
tensor(0.5136, device='cuda:0') 110.5 111.1875
tensor(0.4777, device='cuda:0') 110.5 111.1875
tensor(0.4287, device='cuda:0') 110.5 111.125
tensor(0.3517, device='cuda:0') 110.5625 111.125
tensor(0.3042, device='cuda:0') 110.5625 111.125
tensor(0.2703, device='cuda:0') 110.5625 111.0625
tensor(0.2901, device='cuda:0') 110.625 111.125
tensor(0.2380, device='cuda:0') 110.625 111.0625

 16%|████████████████████████████████████████▎                                                                                                                                                                                                                   | 16/100 [01:51<09:45,  6.97s/it]
tensor(0.1271, device='cuda:0') 110.6875 111.0
tensor(0.1728, device='cuda:0') 110.6875 111.0
tensor(0.6637, device='cuda:0') 111.3125 112.8125
tensor(0.6614, device='cuda:0') 111.25 112.75
tensor(0.6572, device='cuda:0') 111.25 112.75
tensor(0.6577, device='cuda:0') 111.25 112.75
tensor(0.6705, device='cuda:0') 111.1875 112.6875
tensor(0.6651, device='cuda:0') 111.1875 112.625
tensor(0.6581, device='cuda:0') 111.1875 112.625
