  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.1784, device='cuda:0') 136.25 130.0
tensor(0.1745, device='cuda:0') 136.5 130.0
tensor(0.1651, device='cuda:0') 136.625 130.125
tensor(0.1466, device='cuda:0') 136.75 130.125
tensor(0.1242, device='cuda:0') 136.875 130.125
tensor(0.1070, device='cuda:0') 137.0 130.25
tensor(0.0885, device='cuda:0') 137.125 130.25
tensor(0.0713, device='cuda:0') 137.25 130.25
  5%|████████████▋                                                                                                                                                                                                                                                | 5/100 [01:19<25:06, 15.86s/it]Token indices sequence length is longer than the specified maximum sequence length for this model (93 > 77). Running this sequence through the model will result in indexing errors
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: ['morbacher, female, feminine, art deco, new baroque, intricate linework']
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: ['morbacher, female, feminine, art deco, new baroque, intricate linework']
tensor(0.0440, device='cuda:0') 137.5 130.375
tensor(0.0229, device='cuda:0') 137.625 130.5
tensor(0.1001, device='cuda:0') 137.75 130.5
tensor(0.0929, device='cuda:0') 137.875 130.5
tensor(0.0876, device='cuda:0') 138.0 130.5
tensor(0.5826, device='cuda:0') 105.3125 107.125
tensor(0.5828, device='cuda:0') 105.3125 107.125
tensor(0.5771, device='cuda:0') 105.3125 107.125
tensor(0.5587, device='cuda:0') 105.25 107.125
tensor(0.5560, device='cuda:0') 105.25 107.0625
tensor(0.5785, device='cuda:0') 105.25 107.0625
tensor(0.5811, device='cuda:0') 105.1875 107.0
tensor(0.5684, device='cuda:0') 105.1875 107.0
tensor(0.5508, device='cuda:0') 105.1875 107.0
tensor(0.5299, device='cuda:0') 105.125 106.9375
tensor(0.5099, device='cuda:0') 105.125 106.9375
tensor(0.4859, device='cuda:0') 105.125 106.9375
tensor(0.4234, device='cuda:0') 105.0625 106.875
tensor(0.3819, device='cuda:0') 105.0625 106.875
tensor(0.3472, device='cuda:0') 105.0625 106.8125
tensor(0.3415, device='cuda:0') 105.0 106.8125
tensor(0.3148, device='cuda:0') 105.0 106.75
tensor(0.2932, device='cuda:0') 105.0 106.75
tensor(0.3407, device='cuda:0') 104.9375 106.75
tensor(0.3556, device='cuda:0') 104.9375 106.6875
tensor(0.3432, device='cuda:0') 104.9375 106.6875
tensor(0.3601, device='cuda:0') 104.875 106.6875
tensor(0.3503, device='cuda:0') 104.875 106.625
tensor(0.3697, device='cuda:0') 104.8125 106.625
tensor(0.3923, device='cuda:0') 104.75 106.5625
tensor(0.4080, device='cuda:0') 104.6875 106.5625
tensor(0.4081, device='cuda:0') 104.6875 106.5
tensor(0.3973, device='cuda:0') 104.625 106.5
tensor(0.3885, device='cuda:0') 104.5625 106.375
tensor(0.3863, device='cuda:0') 104.5 106.375
tensor(0.3811, device='cuda:0') 104.375 106.3125
tensor(0.3695, device='cuda:0') 104.3125 106.3125
tensor(0.3235, device='cuda:0') 104.25 106.1875
tensor(0.2914, device='cuda:0') 104.1875 106.125
tensor(0.2201, device='cuda:0') 104.125 106.125
tensor(0.2151, device='cuda:0') 104.0625 106.0625
tensor(0.1959, device='cuda:0') 104.0 106.0625
tensor(0.1962, device='cuda:0') 103.9375 106.0
tensor(0.1817, device='cuda:0') 103.875 105.9375
tensor(0.1668, device='cuda:0') 103.8125 105.9375
tensor(0.1497, device='cuda:0') 103.75 105.875
tensor(0.1250, device='cuda:0') 103.6875 105.8125
tensor(0.1016, device='cuda:0') 103.625 105.8125
tensor(0.0898, device='cuda:0') 103.5625 105.75
tensor(0.0776, device='cuda:0') 103.5 105.75
tensor(0.0641, device='cuda:0') 103.5 105.6875
  6%|███████████████▏                                                                                                                                                                                                                                             | 6/100 [01:35<24:50, 15.85s/it]
tensor(0.0565, device='cuda:0') 103.4375 105.625
tensor(0.0452, device='cuda:0') 103.375 105.625
tensor(0.0342, device='cuda:0') 103.375 105.625
tensor(0.0787, device='cuda:0') 103.3125 105.625
tensor(0.8957, device='cuda:0') 118.9375 120.3125
tensor(0.8964, device='cuda:0') 118.9375 120.25
tensor(0.8978, device='cuda:0') 118.9375 120.25
tensor(0.9010, device='cuda:0') 118.875 120.25
tensor(0.9044, device='cuda:0') 118.875 120.1875
tensor(0.9096, device='cuda:0') 118.875 120.1875
tensor(0.9164, device='cuda:0') 118.8125 120.1875
tensor(0.9238, device='cuda:0') 118.8125 120.125
tensor(0.9342, device='cuda:0') 118.75 120.125
tensor(0.9453, device='cuda:0') 118.75 120.125
tensor(0.9588, device='cuda:0') 118.75 120.0625
tensor(0.9739, device='cuda:0') 118.6875 120.0625
tensor(0.9885, device='cuda:0') 118.6875 120.0
tensor(1.0014, device='cuda:0') 118.625 120.0
tensor(1.0047, device='cuda:0') 118.625 120.0
tensor(0.9967, device='cuda:0') 118.5625 119.9375
tensor(0.9746, device='cuda:0') 118.5625 119.9375
tensor(0.9427, device='cuda:0') 118.5625 119.875
tensor(0.9047, device='cuda:0') 118.5 119.875
tensor(0.8641, device='cuda:0') 118.5 119.875
tensor(0.8241, device='cuda:0') 118.4375 119.8125
tensor(0.7896, device='cuda:0') 118.375 119.8125
tensor(0.7609, device='cuda:0') 118.375 119.75
tensor(0.7389, device='cuda:0') 118.3125 119.75
tensor(0.7267, device='cuda:0') 118.3125 119.75
tensor(0.7114, device='cuda:0') 118.25 119.6875
tensor(0.6961, device='cuda:0') 118.1875 119.625
tensor(0.6814, device='cuda:0') 118.125 119.6875
tensor(0.6690, device='cuda:0') 118.0625 119.5625
tensor(0.6581, device='cuda:0') 118.0625 119.625
tensor(0.6484, device='cuda:0') 118.0 119.5625
tensor(0.6424, device='cuda:0') 117.9375 119.5
tensor(0.6367, device='cuda:0') 117.875 119.5
tensor(0.6285, device='cuda:0') 117.8125 119.4375
tensor(0.6199, device='cuda:0') 117.75 119.4375
tensor(0.6077, device='cuda:0') 117.6875 119.375
tensor(0.5944, device='cuda:0') 117.625 119.3125
tensor(0.5812, device='cuda:0') 117.5625 119.3125
tensor(0.5692, device='cuda:0') 117.5625 119.3125
tensor(0.5571, device='cuda:0') 117.5 119.25
tensor(0.5494, device='cuda:0') 117.4375 119.25
tensor(0.5380, device='cuda:0') 117.375 119.1875
tensor(0.5372, device='cuda:0') 117.3125 119.1875
tensor(0.5299, device='cuda:0') 117.3125 119.1875
tensor(0.5219, device='cuda:0') 117.25 119.125
tensor(0.5070, device='cuda:0') 117.1875 119.125
tensor(0.4876, device='cuda:0') 117.1875 119.125

  7%|█████████████████▋                                                                                                                                                                                                                                           | 7/100 [01:51<24:35, 15.86s/it]
tensor(0.3923, device='cuda:0') 117.0625 119.0
tensor(0.2807, device='cuda:0') 117.0625 119.0625
tensor(0.7953, device='cuda:0') 125.3125 126.1875
tensor(0.7931, device='cuda:0') 125.3125 126.1875
tensor(0.7892, device='cuda:0') 125.3125 126.1875
tensor(0.7854, device='cuda:0') 125.3125 126.125
tensor(0.7811, device='cuda:0') 125.3125 126.125
tensor(0.7772, device='cuda:0') 125.3125 126.0625
tensor(0.7968, device='cuda:0') 125.3125 126.0625
tensor(0.7899, device='cuda:0') 125.3125 126.0
tensor(0.7822, device='cuda:0') 125.3125 126.0
tensor(0.7749, device='cuda:0') 125.3125 125.9375
tensor(0.7602, device='cuda:0') 125.3125 125.875
tensor(0.7377, device='cuda:0') 125.3125 125.875
tensor(0.7120, device='cuda:0') 125.3125 125.8125
tensor(0.6755, device='cuda:0') 125.375 125.8125
tensor(0.6398, device='cuda:0') 125.375 125.75
tensor(0.7180, device='cuda:0') 125.375 125.75
tensor(0.7462, device='cuda:0') 125.4375 125.6875
tensor(0.7460, device='cuda:0') 125.4375 125.6875
tensor(0.7459, device='cuda:0') 125.4375 125.625
tensor(0.7385, device='cuda:0') 125.5 125.625
tensor(0.7212, device='cuda:0') 125.5 125.625
tensor(0.7051, device='cuda:0') 125.5625 125.5625
tensor(0.6889, device='cuda:0') 125.5625 125.5625
tensor(0.6837, device='cuda:0') 125.5625 125.5
tensor(0.6831, device='cuda:0') 125.625 125.5
tensor(0.6795, device='cuda:0') 125.625 125.4375
tensor(0.6739, device='cuda:0') 125.625 125.4375
tensor(0.6765, device='cuda:0') 125.6875 125.375
tensor(0.6708, device='cuda:0') 125.6875 125.375
tensor(0.6597, device='cuda:0') 125.6875 125.375
tensor(0.6533, device='cuda:0') 125.75 125.3125
tensor(0.6408, device='cuda:0') 125.75 125.3125
tensor(0.6006, device='cuda:0') 125.75 125.3125
tensor(0.5334, device='cuda:0') 125.75 125.3125
tensor(0.5053, device='cuda:0') 125.75 125.25
tensor(0.4905, device='cuda:0') 125.8125 125.25
tensor(0.4785, device='cuda:0') 125.8125 125.25
tensor(0.4793, device='cuda:0') 125.8125 125.1875
tensor(0.5034, device='cuda:0') 125.8125 125.1875
tensor(0.5188, device='cuda:0') 125.875 125.1875
tensor(0.5128, device='cuda:0') 125.875 125.1875
tensor(0.4953, device='cuda:0') 125.875 125.125
tensor(0.4806, device='cuda:0') 125.875 125.125
tensor(0.4800, device='cuda:0') 125.9375 125.0625
tensor(0.4844, device='cuda:0') 125.9375 125.0625
tensor(0.4534, device='cuda:0') 126.0 125.0625
tensor(0.4045, device='cuda:0') 126.0 125.0625
tensor(0.3573, device='cuda:0') 126.0 125.0

  8%|████████████████████▏                                                                                                                                                                                                                                        | 8/100 [02:06<24:20, 15.87s/it]
tensor(0.3417, device='cuda:0') 126.0625 124.9375
tensor(0.7317, device='cuda:0') 122.9375 126.625
tensor(0.7399, device='cuda:0') 122.9375 126.625
tensor(0.7533, device='cuda:0') 122.875 126.625
tensor(0.7720, device='cuda:0') 122.8125 126.5625
tensor(0.7762, device='cuda:0') 122.6875 126.5
tensor(0.7793, device='cuda:0') 122.625 126.375
tensor(0.7736, device='cuda:0') 122.5 126.3125
tensor(0.7583, device='cuda:0') 122.375 126.125
tensor(0.7325, device='cuda:0') 122.1875 126.0
tensor(0.7014, device='cuda:0') 122.0625 125.875
tensor(0.6766, device='cuda:0') 121.9375 125.6875
tensor(0.6228, device='cuda:0') 121.8125 125.5625
tensor(0.5634, device='cuda:0') 121.6875 125.375
tensor(0.5201, device='cuda:0') 121.5 125.1875
tensor(0.5051, device='cuda:0') 121.375 125.0
tensor(0.5047, device='cuda:0') 121.25 124.8125
tensor(0.4742, device='cuda:0') 121.1875 124.6875
tensor(0.4419, device='cuda:0') 121.0625 124.5
tensor(0.4454, device='cuda:0') 120.9375 124.3125
tensor(0.4739, device='cuda:0') 120.875 124.125
tensor(0.5219, device='cuda:0') 120.75 123.9375
tensor(0.5884, device='cuda:0') 120.6875 123.8125
tensor(0.6240, device='cuda:0') 120.625 123.6875
tensor(0.6401, device='cuda:0') 120.5625 123.5625
tensor(0.6243, device='cuda:0') 120.4375 123.375
tensor(0.5819, device='cuda:0') 120.4375 123.3125
tensor(0.5427, device='cuda:0') 120.375 123.1875
tensor(0.5089, device='cuda:0') 120.3125 123.125
tensor(0.4818, device='cuda:0') 120.25 123.0625
tensor(0.4754, device='cuda:0') 120.25 123.0
tensor(0.4755, device='cuda:0') 120.1875 122.9375
tensor(0.4535, device='cuda:0') 120.1875 122.875
tensor(0.3810, device='cuda:0') 120.125 122.875
tensor(0.3607, device='cuda:0') 120.125 122.8125
tensor(0.3728, device='cuda:0') 120.125 122.8125
tensor(0.4355, device='cuda:0') 120.125 122.75
tensor(0.4065, device='cuda:0') 120.125 122.75
tensor(0.3002, device='cuda:0') 120.125 122.8125
tensor(0.2290, device='cuda:0') 120.125 122.875
tensor(0.1926, device='cuda:0') 120.125 122.9375
tensor(0.1683, device='cuda:0') 120.125 122.9375
tensor(0.1561, device='cuda:0') 120.125 122.9375
tensor(0.1580, device='cuda:0') 120.1875 123.0
tensor(0.1746, device='cuda:0') 120.1875 123.0
tensor(0.1787, device='cuda:0') 120.1875 123.0
tensor(0.1717, device='cuda:0') 120.1875 123.0
tensor(0.1199, device='cuda:0') 120.1875 123.0625
tensor(0.0907, device='cuda:0') 120.1875 123.125
tensor(0.0768, device='cuda:0') 120.1875 123.1875

  9%|██████████████████████▊                                                                                                                                                                                                                                      | 9/100 [02:22<24:03, 15.86s/it]
tensor(0.7268, device='cuda:0') 113.125 116.4375
tensor(0.7250, device='cuda:0') 113.125 116.4375
tensor(0.7216, device='cuda:0') 113.0625 116.375
tensor(0.7211, device='cuda:0') 113.0 116.375
tensor(0.7323, device='cuda:0') 112.9375 116.3125
tensor(0.7675, device='cuda:0') 112.8125 116.25
tensor(0.7727, device='cuda:0') 112.75 116.1875
tensor(0.7756, device='cuda:0') 112.625 116.0625
tensor(0.7768, device='cuda:0') 112.5 116.0
tensor(0.7744, device='cuda:0') 112.375 115.875
tensor(0.7662, device='cuda:0') 112.25 115.8125
tensor(0.7517, device='cuda:0') 112.125 115.75
tensor(0.7401, device='cuda:0') 112.0625 115.625
tensor(0.7160, device='cuda:0') 111.9375 115.5
tensor(0.6895, device='cuda:0') 111.8125 115.4375
tensor(0.6618, device='cuda:0') 111.6875 115.3125
tensor(0.6353, device='cuda:0') 111.5625 115.25
tensor(0.6114, device='cuda:0') 111.4375 115.125
tensor(0.5641, device='cuda:0') 111.3125 115.0
tensor(0.5468, device='cuda:0') 111.1875 114.9375
tensor(0.5556, device='cuda:0') 111.0625 114.8125
tensor(0.5471, device='cuda:0') 110.9375 114.75
tensor(0.5357, device='cuda:0') 110.875 114.625
tensor(0.5413, device='cuda:0') 110.75 114.5
tensor(0.5428, device='cuda:0') 110.625 114.4375
tensor(0.5853, device='cuda:0') 110.5 114.375
tensor(0.6015, device='cuda:0') 110.375 114.3125
tensor(0.5827, device='cuda:0') 110.3125 114.1875
tensor(0.5738, device='cuda:0') 110.1875 114.125
tensor(0.5653, device='cuda:0') 110.0625 114.0625
tensor(0.5553, device='cuda:0') 110.0 114.0
tensor(0.5411, device='cuda:0') 109.875 113.9375
tensor(0.5225, device='cuda:0') 109.8125 113.875
tensor(0.5047, device='cuda:0') 109.6875 113.8125
tensor(0.4917, device='cuda:0') 109.625 113.75
tensor(0.2683, device='cuda:0') 109.5625 113.6875
tensor(0.2574, device='cuda:0') 109.4375 113.6875
tensor(0.2457, device='cuda:0') 109.375 113.625
tensor(0.2330, device='cuda:0') 109.3125 113.5625
