
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 19, 0.0008206052589230239
tuning, 0, 0.0024001849815249443
tuning, 1, 0.0019669965840876102
tuning, 2, 0.0017072814516723156
tuning, 3, 0.0015415102243423462
tuning, 4, 0.0014501604018732905
tuning, 5, 0.0014024920528754592
tuning, 6, 0.001358852256089449
tuning, 7, 0.0012989980168640614
tuning, 8, 0.001231198781169951
tuning, 9, 0.0011819503270089626
tuning, 10, 0.0011522335698828101
tuning, 11, 0.0011159171117469668
tuning, 12, 0.001080795656889677
tuning, 13, 0.0010692402720451355
tuning, 14, 0.0010626125149428844
tuning, 15, 0.0010364961344748735
tuning, 16, 0.0009971035178750753
tuning, 17, 0.0009616732131689787
tuning, 18, 0.0009324384154751897

 20%|█████████████████████████████████████████████████████▊                                                                                                                                                                                                                       | 20/100 [11:01<44:08, 33.11s/it]
tuning, 0, 0.0027113701216876507
tuning, 1, 0.002845572307705879
tuning, 2, 0.002357638906687498
tuning, 3, 0.002420861041173339
tuning, 4, 0.0022118936758488417
tuning, 5, 0.0021235232707113028
tuning, 6, 0.0021498145069926977
tuning, 7, 0.002032859716564417
tuning, 8, 0.001916693290695548
tuning, 9, 0.0019217727240175009
tuning, 10, 0.0018903245218098164
tuning, 11, 0.0017659052973613143
tuning, 12, 0.0016752379015088081
tuning, 13, 0.0016472873976454139
tuning, 14, 0.001620751223526895
tuning, 15, 0.0015908535569906235
tuning, 16, 0.0015665583778172731

 21%|████████████████████████████████████████████████████████▍                                                                                                                                                                                                                    | 21/100 [11:34<43:38, 33.14s/it]
tuning, 18, 0.0015002530999481678
tuning, 19, 0.0014859589282423258
tuning, 0, 0.002246369607746601
tuning, 1, 0.0018124335911124945
tuning, 2, 0.001393757644109428
tuning, 3, 0.001470442395657301
tuning, 4, 0.0014641074230894446
tuning, 5, 0.001269674045033753
tuning, 6, 0.001169073861092329
tuning, 7, 0.0011447907891124487
tuning, 8, 0.0010954705066978931
tuning, 9, 0.0010479599004611373
tuning, 10, 0.0010274492669850588
tuning, 11, 0.0010129990987479687
tuning, 12, 0.0009780462132766843
tuning, 13, 0.0009275067131966352
tuning, 14, 0.0008885047282092273
tuning, 15, 0.0008670188253745437
tuning, 16, 0.0008467609877698123
tuning, 17, 0.0008260809700004756
tuning, 18, 0.0008173083770088851

