
  0%|                                                                                                                                                                                                                                                                                                                   | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
86-1, NMSE : 0.00719451904296875, lr : 0.001339745962155613
	86-2, NMSE : 0.0072021484375, lr : 0.001
87-1, NMSE : 0.0072021484375, lr : 0.0011705240714107324
	87-2, NMSE : 0.00722503662109375, lr : 0.001
88-1, NMSE : 0.0072174072265625, lr : 0.0010120595370083296
	88-2, NMSE : 0.00724029541015625, lr : 0.001
89-1, NMSE : 0.00724029541015625, lr : 0.0008645454235739925
	89-2, NMSE : 0.007251739501953125, lr : 0.001
90-1, NMSE : 0.007251739501953125, lr : 0.0007281614543321269
	90-2, NMSE : 0.007274627685546875, lr : 0.001
91-1, NMSE : 0.007274627685546875, lr : 0.0006030737921409169
	91-2, NMSE : 0.007282257080078125, lr : 0.001
92-1, NMSE : 0.007282257080078125, lr : 0.0004894348370484647
	92-2, NMSE : 0.0073089599609375, lr : 0.001
93-1, NMSE : 0.0073089599609375, lr : 0.0003873830406168133
	93-2, NMSE : 0.007320404052734375, lr : 0.001
94-1, NMSE : 0.007320404052734375, lr : 0.00029704273724003526
	94-2, NMSE : 0.00734710693359375, lr : 0.001
95-1, NMSE : 0.00734710693359375, lr : 0.0002185239926619431
	95-2, NMSE : 0.007354736328125, lr : 0.001
96-1, NMSE : 0.007354736328125, lr : 0.0001519224698779198
	96-2, NMSE : 0.00737762451171875, lr : 0.001
97-1, NMSE : 0.00737762451171875, lr : 9.73193125842975e-05
	97-2, NMSE : 0.007389068603515625, lr : 0.001
98-1, NMSE : 0.007389068603515625, lr : 5.47810463172671e-05
	98-2, NMSE : 0.007411956787109375, lr : 0.001
99-1, NMSE : 0.007411956787109375, lr : 2.4359497401758025e-05
	99-2, NMSE : 0.007427215576171875, lr : 0.001
100-1, NMSE : 0.007427215576171875, lr : 6.091729809042379e-06
	100-2, NMSE : 0.007450103759765625, lr : 0.001
inversion time : 16.212578058242798
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:24<00:00, 24.05s/it]
