  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.4739, device='cuda:0') 112.1875 116.6875
tensor(0.4906, device='cuda:0') 112.125 116.625
tensor(0.5398, device='cuda:0') 112.125 116.625
tensor(0.5760, device='cuda:0') 112.0625 116.625
tensor(0.5929, device='cuda:0') 112.0 116.5625
tensor(0.6277, device='cuda:0') 111.9375 116.5625
tensor(0.6274, device='cuda:0') 111.9375 116.5625
tensor(0.6208, device='cuda:0') 111.875 116.5
tensor(0.6142, device='cuda:0') 111.875 116.5
tensor(0.6051, device='cuda:0') 111.8125 116.5
tensor(0.5956, device='cuda:0') 111.8125 116.5
tensor(0.5811, device='cuda:0') 111.75 116.4375
tensor(0.5650, device='cuda:0') 111.75 116.5
tensor(0.5536, device='cuda:0') 111.75 116.4375
tensor(0.5406, device='cuda:0') 111.6875 116.4375
tensor(0.5327, device='cuda:0') 111.6875 116.4375
tensor(0.5240, device='cuda:0') 111.6875 116.5
tensor(0.5346, device='cuda:0') 111.6875 116.5
tensor(0.5425, device='cuda:0') 111.625 116.5
tensor(0.5281, device='cuda:0') 111.625 116.5
tensor(0.5131, device='cuda:0') 111.625 116.5
tensor(0.4948, device='cuda:0') 111.625 116.5
tensor(0.4690, device='cuda:0') 111.625 116.5625
tensor(0.4350, device='cuda:0') 111.5625 116.5
tensor(0.4072, device='cuda:0') 111.5625 116.5625
tensor(0.3805, device='cuda:0') 111.5625 116.5625
tensor(0.3580, device='cuda:0') 111.5625 116.5625
tensor(0.3333, device='cuda:0') 111.5625 116.5
tensor(0.3336, device='cuda:0') 111.5625 116.5625
tensor(0.3720, device='cuda:0') 111.5 116.5625
tensor(0.4255, device='cuda:0') 111.5 116.5625
tensor(0.4545, device='cuda:0') 111.5 116.5
tensor(0.4342, device='cuda:0') 111.5 116.5
tensor(0.4286, device='cuda:0') 111.5 116.5
tensor(0.4237, device='cuda:0') 111.5 116.5
tensor(0.4138, device='cuda:0') 111.4375 116.5
tensor(0.4056, device='cuda:0') 111.4375 116.5
tensor(0.4007, device='cuda:0') 111.4375 116.5
tensor(0.3742, device='cuda:0') 111.4375 116.5
tensor(0.3514, device='cuda:0') 111.4375 116.5
tensor(0.3272, device='cuda:0') 111.4375 116.5
tensor(0.3124, device='cuda:0') 111.375 116.5
tensor(0.3016, device='cuda:0') 111.375 116.5

  2%|█████                                                                                                                                                                                                                                                        | 2/100 [01:01<50:11, 30.73s/it]
tensor(0.2564, device='cuda:0') 111.375 116.5
tensor(0.2091, device='cuda:0') 111.375 116.5
tensor(0.1996, device='cuda:0') 111.375 116.5
tensor(0.2134, device='cuda:0') 111.3125 116.5
tensor(0.2279, device='cuda:0') 111.3125 116.5
tensor(0.2068, device='cuda:0') 111.3125 116.4375
tensor(0.1513, device='cuda:0') 111.3125 116.4375
tensor(0.1303, device='cuda:0') 111.3125 116.4375
tensor(0.1154, device='cuda:0') 111.3125 116.4375
tensor(0.0986, device='cuda:0') 111.3125 116.4375
tensor(0.7098, device='cuda:0') 129.625 132.0
tensor(0.7083, device='cuda:0') 129.5 132.0
tensor(0.7809, device='cuda:0') 129.5 131.875
tensor(0.7956, device='cuda:0') 129.5 131.875
tensor(0.8043, device='cuda:0') 129.5 131.875
tensor(0.8011, device='cuda:0') 129.375 131.75
tensor(0.7913, device='cuda:0') 129.375 131.75
tensor(0.7927, device='cuda:0') 129.25 131.625
tensor(0.8518, device='cuda:0') 129.25 131.625
tensor(0.8549, device='cuda:0') 129.125 131.5
tensor(0.8528, device='cuda:0') 129.0 131.375
tensor(0.8958, device='cuda:0') 129.0 131.375
tensor(0.9544, device='cuda:0') 128.875 131.25
tensor(0.9423, device='cuda:0') 128.875 131.125
tensor(0.9488, device='cuda:0') 128.75 131.125
tensor(0.9491, device='cuda:0') 128.75 131.0
tensor(0.9078, device='cuda:0') 128.625 130.875
tensor(0.8008, device='cuda:0') 128.625 130.875
tensor(0.7517, device='cuda:0') 128.5 130.75
tensor(0.7204, device='cuda:0') 128.5 130.75
tensor(0.6918, device='cuda:0') 128.375 130.625
tensor(0.6722, device='cuda:0') 128.375 130.625
tensor(0.8274, device='cuda:0') 128.25 130.5
tensor(0.8266, device='cuda:0') 128.25 130.5
tensor(0.8196, device='cuda:0') 128.125 130.375
tensor(0.7905, device='cuda:0') 128.125 130.375
tensor(0.8163, device='cuda:0') 128.0 130.25
tensor(0.8031, device='cuda:0') 128.0 130.25
tensor(0.7016, device='cuda:0') 127.9375 130.25
tensor(0.6491, device='cuda:0') 127.875 130.125
tensor(0.6237, device='cuda:0') 127.8125 130.125
tensor(0.6021, device='cuda:0') 127.75 130.125
tensor(0.5513, device='cuda:0') 127.75 130.0
tensor(0.5200, device='cuda:0') 127.6875 130.0
tensor(0.5323, device='cuda:0') 127.625 130.0
tensor(0.9026, device='cuda:0') 127.5625 130.0
tensor(0.8833, device='cuda:0') 127.5625 129.875
tensor(0.8499, device='cuda:0') 127.5 129.875
tensor(0.8223, device='cuda:0') 127.4375 129.875
tensor(0.8101, device='cuda:0') 127.4375 129.875
tensor(0.8017, device='cuda:0') 127.375 129.875
tensor(0.7865, device='cuda:0') 127.375 129.875
tensor(0.7522, device='cuda:0') 127.3125 129.75
tensor(0.7086, device='cuda:0') 127.3125 129.75
tensor(0.8124, device='cuda:0') 127.25 129.75
tensor(0.8254, device='cuda:0') 127.25 129.75
tensor(0.8247, device='cuda:0') 127.1875 129.75
tensor(0.8148, device='cuda:0') 127.1875 129.75
tensor(0.8008, device='cuda:0') 127.125 129.75
tensor(0.7795, device='cuda:0') 127.125 129.75
tensor(0.7546, device='cuda:0') 127.125 129.75
tensor(0.7256, device='cuda:0') 127.0625 129.625
tensor(0.5219, device='cuda:0') 127.0625 129.625
