
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 3, 0.0054171341471374035
tuning, 4, 0.0053040082566440105
tuning, 5, 0.005168939009308815
tuning, 6, 0.005019546020776033
tuning, 7, 0.00487449299544096
tuning, 8, 0.004749144893139601
tuning, 9, 0.004653002135455608
tuning, 10, 0.004578075371682644
tuning, 11, 0.0045064836740493774
tuning, 12, 0.004429295193403959
tuning, 13, 0.004344202112406492
tuning, 14, 0.004256263840943575
tuning, 15, 0.004175818525254726
tuning, 16, 0.004108471795916557
tuning, 17, 0.0040502059273421764
tuning, 18, 0.003994695842266083

 15%|████████████████████████████████████████▎                                                                                                                                                                                                                                    | 15/100 [08:15<46:53, 33.10s/it]
tuning, 0, 0.002146173734217882
tuning, 1, 0.0030016391538083553
tuning, 2, 0.0018840724369511008
tuning, 3, 0.0014075529761612415
tuning, 4, 0.002001906279474497
tuning, 5, 0.0017017750069499016
tuning, 6, 0.0011307483073323965
tuning, 7, 0.0012594403233379126
tuning, 8, 0.0013788784854114056
tuning, 9, 0.0013017678866162896
tuning, 10, 0.001092112623155117
tuning, 11, 0.0009499958250671625
tuning, 12, 0.0011778961634263396
tuning, 13, 0.0012219286290928721
tuning, 14, 0.0008949313778430223
tuning, 15, 0.0006824337760917842
tuning, 16, 0.0008350145071744919
tuning, 17, 0.0009834096999838948
tuning, 18, 0.0008808117709122598

 16%|███████████████████████████████████████████                                                                                                                                                                                                                                  | 16/100 [08:48<46:22, 33.12s/it]
tuning, 0, 0.001953600440174341
tuning, 1, 0.0023034103214740753
tuning, 2, 0.0018740668892860413
tuning, 3, 0.0014751367270946503
tuning, 4, 0.001409908290952444
tuning, 5, 0.001614991808310151
tuning, 6, 0.0012964443303644657
tuning, 7, 0.0011939406394958496
tuning, 8, 0.0012729072477668524
tuning, 9, 0.0012911544181406498
tuning, 10, 0.0012198742479085922
tuning, 11, 0.0011118956608697772
tuning, 12, 0.0010264732409268618
tuning, 13, 0.0009907069616019726
tuning, 14, 0.0009691740269772708
tuning, 15, 0.0009402912110090256
tuning, 16, 0.0009257005294784904
tuning, 17, 0.0009287949651479721

 17%|█████████████████████████████████████████████▋                                                                                                                                                                                                                               | 17/100 [09:22<45:50, 33.13s/it]
tuning, 19, 0.0008999941637739539
tuning, 0, 0.0021949184592813253
tuning, 1, 0.006929562892764807
tuning, 2, 0.0023182197473943233
tuning, 3, 0.0019047313835471869
tuning, 4, 0.0021854592487215996
tuning, 5, 0.002019433304667473
tuning, 6, 0.0019234585342928767
tuning, 7, 0.0018677221378311515
tuning, 8, 0.001732082455419004
tuning, 9, 0.0015752188628539443
tuning, 10, 0.0014303268399089575
tuning, 11, 0.0012739449739456177
tuning, 12, 0.0012262059608474374
tuning, 13, 0.001507491571828723
tuning, 14, 0.0016317310510203242
tuning, 15, 0.001523575047031045
tuning, 16, 0.0013334860559552908
tuning, 17, 0.0012123939814046025
tuning, 18, 0.0011023416882380843

 18%|████████████████████████████████████████████████▍                                                                                                                                                                                                                            | 18/100 [09:55<45:18, 33.15s/it]
tuning, 0, 0.0026691854000091553
tuning, 1, 0.0021801728289574385
tuning, 2, 0.001870618900284171
tuning, 3, 0.001674760365858674
tuning, 4, 0.0015188314719125628
tuning, 5, 0.001411111792549491
tuning, 6, 0.0013331715017557144
tuning, 7, 0.0012663851957768202
tuning, 8, 0.0012099139858037233
tuning, 9, 0.0011587374610826373
tuning, 10, 0.0011091709602624178
tuning, 11, 0.0010659927502274513
tuning, 12, 0.0010322782909497619
tuning, 13, 0.001005332451313734
tuning, 14, 0.0009780738037079573
tuning, 15, 0.0009478509309701622
tuning, 16, 0.000913634430617094
tuning, 17, 0.0008776183240115643
tuning, 18, 0.0008458119118586183

 19%|███████████████████████████████████████████████████                                                                                                                                                                                                                          | 19/100 [10:28<44:48, 33.20s/it]
tuning, 0, 0.0028672139160335064
tuning, 1, 0.00209410535171628
tuning, 2, 0.0018405558075755835
tuning, 3, 0.0017106295563280582
tuning, 4, 0.0016111101722344756
tuning, 5, 0.0015316007193177938
tuning, 6, 0.0014541720738634467
tuning, 7, 0.0013799902517348528
tuning, 8, 0.0013330582296475768
tuning, 9, 0.0013009554240852594
tuning, 10, 0.0012658073101192713
tuning, 11, 0.001228775130584836
tuning, 12, 0.0011831404408439994
tuning, 13, 0.0011232413817197084
tuning, 14, 0.001066623255610466
tuning, 15, 0.0010316726984456182
tuning, 16, 0.0010165305575355887
tuning, 17, 0.00100504863075912
tuning, 18, 0.0009860004065558314

 20%|█████████████████████████████████████████████████████▊                                                                                                                                                                                                                       | 20/100 [11:01<44:15, 33.19s/it]
tuning, 0, 0.0032078446820378304
tuning, 1, 0.0030046594329178333
tuning, 2, 0.002646529581397772
tuning, 3, 0.002508855424821377
tuning, 4, 0.0025109746493399143
tuning, 5, 0.002325361128896475
tuning, 6, 0.00216222507879138
tuning, 7, 0.0021427301689982414
tuning, 8, 0.0021240622736513615
tuning, 9, 0.0020265826024115086
tuning, 10, 0.0019474250730127096
tuning, 11, 0.0019468008540570736
tuning, 12, 0.0019269902259111404
tuning, 13, 0.0018391215708106756
tuning, 14, 0.0017386553809046745
tuning, 15, 0.0016924026422202587
tuning, 16, 0.0016815534327179193
tuning, 17, 0.0016536692855879664
tuning, 18, 0.0016093309968709946

 21%|████████████████████████████████████████████████████████▍                                                                                                                                                                                                                    | 21/100 [11:34<43:40, 33.17s/it]
tuning, 0, 0.0022224155254662037
tuning, 1, 0.0017732828855514526
tuning, 2, 0.0014268006198108196
tuning, 3, 0.0015567434020340443
tuning, 4, 0.0014786748215556145
tuning, 5, 0.0012536316644400358
tuning, 6, 0.0011880702804774046
tuning, 7, 0.0011813495075330138
tuning, 8, 0.001134015852585435
tuning, 9, 0.0010755464900285006
tuning, 10, 0.0010415297001600266
tuning, 11, 0.0010176296345889568
tuning, 12, 0.000976651906967163
tuning, 13, 0.0009220830979757011
tuning, 14, 0.0008860531961545348
tuning, 15, 0.0008707341039553285
tuning, 16, 0.0008531356579624116
tuning, 17, 0.0008333504083566368

 22%|███████████████████████████████████████████████████████████▏                                                                                                                                                                                                                 | 22/100 [12:08<43:06, 33.17s/it]
tuning, 19, 0.0008126492029987276
tuning, 0, 0.0017630241345614195
tuning, 1, 0.0024953391402959824
tuning, 2, 0.0035026310943067074
tuning, 3, 0.0021646334789693356
tuning, 4, 0.0021595475263893604
tuning, 5, 0.0026514444034546614
tuning, 6, 0.0020412474405020475
tuning, 7, 0.0016676285304129124
tuning, 8, 0.0019351823721081018
tuning, 9, 0.0022875559516251087
tuning, 10, 0.0020963300485163927
tuning, 11, 0.0016132805030792952
tuning, 12, 0.0013512340374290943
tuning, 13, 0.0013785874471068382
tuning, 14, 0.0014232159592211246
tuning, 15, 0.001369987498037517
tuning, 16, 0.00128529267385602
