
  0%|                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.0216, device='cuda:0') 0.021601351518196532
tensor(0.0208, device='cuda:0') 0.020846058645261678
tensor(0.0198, device='cuda:0') 0.019839446625965707
tensor(0.0190, device='cuda:0') 0.019018479945088984
tensor(0.0186, device='cuda:0') 0.018568197523816332
tensor(0.0193, device='cuda:0') 0.01928897047367628
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [01:09<00:00, 69.82s/it]
tensor(0.0193, device='cuda:0') 0.019260582645074464
tensor(0.0180, device='cuda:0') 0.01801686557497817
tensor(0.0181, device='cuda:0') 0.01806423991763695
tensor(0.0164, device='cuda:0') 0.01644185665122677
tensor(0.0162, device='cuda:0') 0.016164431944326374
tensor(0.0160, device='cuda:0') 0.016023322542109364
tensor(0.0151, device='cuda:0') 0.01506035094778696
