  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(-0.4361, device='cuda:0') 114.9375 117.25
tensor(-0.4289, device='cuda:0') 114.9375 117.25
tensor(-0.4303, device='cuda:0') 114.9375 117.25
tensor(-0.4252, device='cuda:0') 114.875 117.1875
tensor(-0.4215, device='cuda:0') 114.875 117.25
tensor(-0.4177, device='cuda:0') 114.875 117.1875
tensor(-0.4167, device='cuda:0') 114.875 117.1875
tensor(-0.4100, device='cuda:0') 114.875 117.1875
tensor(-0.4060, device='cuda:0') 114.875 117.1875
tensor(-0.4024, device='cuda:0') 114.875 117.1875
tensor(-0.4027, device='cuda:0') 114.875 117.125
tensor(-0.4044, device='cuda:0') 114.875 117.125
tensor(-0.4063, device='cuda:0') 114.875 117.125
tensor(-0.4163, device='cuda:0') 114.875 117.125
tensor(-0.4190, device='cuda:0') 114.875 117.125
tensor(-0.4245, device='cuda:0') 114.875 117.125
tensor(-0.4296, device='cuda:0') 114.875 117.125
tensor(-0.4368, device='cuda:0') 114.875 117.125
tensor(-0.4429, device='cuda:0') 114.875 117.125
tensor(-0.4517, device='cuda:0') 114.875 117.0625
tensor(-0.4589, device='cuda:0') 114.9375 117.0625
tensor(-0.4693, device='cuda:0') 114.9375 117.0625
tensor(-0.4779, device='cuda:0') 114.9375 117.125
tensor(-0.4870, device='cuda:0') 114.9375 117.125
tensor(-0.4899, device='cuda:0') 114.9375 117.0625
tensor(-0.4900, device='cuda:0') 114.9375 117.125
tensor(-0.4830, device='cuda:0') 115.0 117.0625
tensor(-0.4780, device='cuda:0') 115.0 117.125
tensor(-0.4185, device='cuda:0') 115.0 117.125
tensor(-0.3888, device='cuda:0') 115.0 117.125
tensor(-0.1821, device='cuda:0') 115.0 117.125
tensor(0.0213, device='cuda:0') 115.0625 117.125
tensor(-0.0850, device='cuda:0') 115.0625 117.125
tensor(-0.1869, device='cuda:0') 115.0625 117.125
tensor(-0.2316, device='cuda:0') 115.0625 117.125
tensor(-0.3845, device='cuda:0') 115.0625 117.125
tensor(-0.4597, device='cuda:0') 115.0625 117.125
tensor(-0.4303, device='cuda:0') 115.0625 117.125
tensor(-0.4933, device='cuda:0') 115.0625 117.125
tensor(-0.5224, device='cuda:0') 115.0625 117.125
tensor(-0.5320, device='cuda:0') 115.0625 117.1875
tensor(-0.5562, device='cuda:0') 115.0625 117.1875
tensor(-0.5552, device='cuda:0') 115.125 117.1875
