  0%|                                                                                                                                                                                                                                                                       | 0/2 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.6128, device='cuda:0') 115.875 115.12575
tensor(0.6122, device='cuda:0') 115.875 115.125
tensor(0.6124, device='cuda:0') 115.875 115.125
tensor(0.6112, device='cuda:0') 115.875 115.125
tensor(0.6135, device='cuda:0') 115.9375 115.125
tensor(0.6095, device='cuda:0') 115.9375 115.125
tensor(0.6128, device='cuda:0') 115.9375 115.125
tensor(0.6118, device='cuda:0') 116.0 115.125
tensor(0.6082, device='cuda:0') 116.0 115.125
tensor(0.6081, device='cuda:0') 116.0 115.125
tensor(0.6053, device='cuda:0') 116.0 115.125
tensor(0.6067, device='cuda:0') 116.0625 115.125
tensor(0.6021, device='cuda:0') 116.0625 115.125
tensor(0.6023, device='cuda:0') 116.0625 115.125
tensor(0.5964, device='cuda:0') 116.125 115.125
tensor(0.5953, device='cuda:0') 116.125 115.125
tensor(0.5954, device='cuda:0') 116.125 115.125
tensor(0.5871, device='cuda:0') 116.1875 115.125
tensor(0.5692, device='cuda:0') 116.25 115.125575
tensor(0.5686, device='cuda:0') 116.25 115.125
tensor(0.5512, device='cuda:0') 116.25 115.125
tensor(0.5272, device='cuda:0') 116.3125 115.125
tensor(0.4747, device='cuda:0') 116.3125 115.125
tensor(0.3931, device='cuda:0') 116.3125 115.125
tensor(0.2145, device='cuda:0') 116.375 115.125
tensor(0.5692, device='cuda:0') 116.25 115.125575
 50%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                                                                                                                               | 1/2 [02:02<02:02, 122.20s/it]
tensor(0.6898, device='cuda:0') 116.0625 119.3755
tensor(0.6718, device='cuda:0') 115.6875 119.0625
tensor(0.6497, device='cuda:0') 115.4375 118.8125
tensor(0.6222, device='cuda:0') 115.1875 118.6255
tensor(0.5913, device='cuda:0') 115.0 118.4375255
tensor(0.5587, device='cuda:0') 114.875 118.25255
tensor(0.5245, device='cuda:0') 114.75 118.125255
tensor(0.4841, device='cuda:0') 114.6875 118.0625
tensor(0.4151, device='cuda:0') 114.625 117.93755
tensor(0.3789, device='cuda:0') 114.625 118.03755
tensor(0.3168, device='cuda:0') 114.625 118.12555
tensor(0.2288, device='cuda:0') 114.6875 118.1255
tensor(0.1237, device='cuda:0') 114.8125 118.3125
tensor(0.2193, device='cuda:0') 114.9375 118.5125
tensor(0.1718, device='cuda:0') 115.125 118.75125

100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [04:04<00:00, 122.30s/it]
