
  0%|                                                                                                                                                                                                                                                                                                  | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
	66-2, NMSE : 0.0036373138427734375, lr : 0.001
67-1, NMSE : 0.003620147705078125, lr : 0.0156348351646022
	67-2, NMSE : 0.003635406494140625, lr : 0.001
68-1, NMSE : 0.0036182403564453125, lr : 0.014831583923105
	68-2, NMSE : 0.0036258697509765625, lr : 0.001
69-1, NMSE : 0.003612518310546875, lr : 0.014040721330273063
	69-2, NMSE : 0.003620147705078125, lr : 0.001
70-1, NMSE : 0.00360870361328125, lr : 0.013263210930352737
	70-2, NMSE : 0.003620147705078125, lr : 0.001
71-1, NMSE : 0.00360870361328125, lr : 0.012500000000000006
	71-2, NMSE : 0.0036182403564453125, lr : 0.001
72-1, NMSE : 0.0036029815673828125, lr : 0.01175201839416988
	72-2, NMSE : 0.0036182403564453125, lr : 0.001
73-1, NMSE : 0.00360870361328125, lr : 0.011020177413231334
	73-2, NMSE : 0.0036182403564453125, lr : 0.001
74-1, NMSE : 0.00360870361328125, lr : 0.010305368692688175
	74-2, NMSE : 0.003620147705078125, lr : 0.001
75-1, NMSE : 0.003612518310546875, lr : 0.009608463116858543
	75-2, NMSE : 0.003620147705078125, lr : 0.001
76-1, NMSE : 0.003612518310546875, lr : 0.008930309757836517
	76-2, NMSE : 0.0036258697509765625, lr : 0.001
77-1, NMSE : 0.0036182403564453125, lr : 0.008271734841028545
	77-2, NMSE : 0.0036296844482421875, lr : 0.001
78-1, NMSE : 0.0036258697509765625, lr : 0.007633540738525075
	78-2, NMSE : 0.003635406494140625, lr : 0.001
79-1, NMSE : 0.0036296844482421875, lr : 0.00701650499153372
	79-2, NMSE : 0.0036411285400390625, lr : 0.001
80-1, NMSE : 0.0036373138427734375, lr : 0.00642137936306515
	80-2, NMSE : 0.0036487579345703125, lr : 0.001
81-1, NMSE : 0.0036468505859375, lr : 0.005848888922025553
	81-2, NMSE : 0.003658294677734375, lr : 0.001
82-1, NMSE : 0.00365447998046875, lr : 0.005299731159831953
	82-2, NMSE : 0.003665924072265625, lr : 0.001
83-1, NMSE : 0.0036640167236328125, lr : 0.004774575140626317
	83-2, NMSE : 0.0036754608154296875, lr : 0.001
84-1, NMSE : 0.00366973876953125, lr : 0.004274060686123959
	84-2, NMSE : 0.0036830902099609375, lr : 0.001
85-1, NMSE : 0.0036830902099609375, lr : 0.003798797596089351
	85-2, NMSE : 0.003696441650390625, lr : 0.001
86-1, NMSE : 0.003692626953125, lr : 0.0033493649053890325
	86-2, NMSE : 0.0037078857421875, lr : 0.001
87-1, NMSE : 0.003704071044921875, lr : 0.002926310178526831
	87-2, NMSE : 0.00371551513671875, lr : 0.001
88-1, NMSE : 0.00371551513671875, lr : 0.0025301488425208242
	88-2, NMSE : 0.00373077392578125, lr : 0.001
89-1, NMSE : 0.00373077392578125, lr : 0.002161363558934981
	89-2, NMSE : 0.003742218017578125, lr : 0.001
90-1, NMSE : 0.003742218017578125, lr : 0.0018204036358303172
	90-2, NMSE : 0.003753662109375, lr : 0.001
91-1, NMSE : 0.003753662109375, lr : 0.0015076844803522923
	91-2, NMSE : 0.0037708282470703125, lr : 0.001
92-1, NMSE : 0.0037708282470703125, lr : 0.0012235870926211618
	92-2, NMSE : 0.0037822723388671875, lr : 0.001
93-1, NMSE : 0.0037822723388671875, lr : 0.0009684576015420332
	93-2, NMSE : 0.0037975311279296875, lr : 0.001
94-1, NMSE : 0.0037975311279296875, lr : 0.0007426068431000883
	94-2, NMSE : 0.0038127899169921875, lr : 0.001
95-1, NMSE : 0.0038089752197265625, lr : 0.0005463099816548578
	95-2, NMSE : 0.003826141357421875, lr : 0.001
96-1, NMSE : 0.003826141357421875, lr : 0.00037980617469479954
	96-2, NMSE : 0.00383758544921875, lr : 0.001
97-1, NMSE : 0.00383758544921875, lr : 0.00024329828146074374
	97-2, NMSE : 0.0038547515869140625, lr : 0.001
98-1, NMSE : 0.0038547515869140625, lr : 0.00013695261579316776
	98-2, NMSE : 0.00386810302734375, lr : 0.001
99-1, NMSE : 0.00386810302734375, lr : 6.089874350439506e-05
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:23<00:00, 23.23s/it]
	99-2, NMSE : 0.0038852691650390625, lr : 0.001
100-1, NMSE : 0.0038852691650390625, lr : 1.5229324522605948e-05
	100-2, NMSE : 0.0038967132568359375, lr : 0.001
inversion time : 16.086390733718872
