
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
80, NMSE : 0.005329132080078125, lr : 0.05
tensor(2.6287, device='cuda:0') tensor(0.6485, device='cuda:0')
81, NMSE : 0.00527191162109375, lr : 0.05
tensor(2.6268, device='cuda:0') tensor(0.6715, device='cuda:0')
82, NMSE : 0.005229949951171875, lr : 0.05
tensor(2.6275, device='cuda:0') tensor(0.6777, device='cuda:0')
83, NMSE : 0.005218505859375, lr : 0.05
tensor(2.6085, device='cuda:0') tensor(0.6551, device='cuda:0')
84, NMSE : 0.00521087646484375, lr : 0.05
tensor(2.5520, device='cuda:0') tensor(0.6611, device='cuda:0')
85, NMSE : 0.00521087646484375, lr : 0.05
tensor(2.5108, device='cuda:0') tensor(0.6504, device='cuda:0')
86, NMSE : 0.005199432373046875, lr : 0.05
tensor(2.5524, device='cuda:0') tensor(0.6637, device='cuda:0')
87, NMSE : 0.005191802978515625, lr : 0.05
tensor(2.5943, device='cuda:0') tensor(0.6727, device='cuda:0')
88, NMSE : 0.0051727294921875, lr : 0.05
tensor(2.6624, device='cuda:0') tensor(0.6314, device='cuda:0')
89, NMSE : 0.005161285400390625, lr : 0.05
tensor(2.6846, device='cuda:0') tensor(0.6434, device='cuda:0')
90, NMSE : 0.005161285400390625, lr : 0.05
tensor(2.7146, device='cuda:0') tensor(0.6570, device='cuda:0')
91, NMSE : 0.005161285400390625, lr : 0.05
tensor(2.7075, device='cuda:0') tensor(0.6469, device='cuda:0')
92, NMSE : 0.0051727294921875, lr : 0.05
tensor(2.6989, device='cuda:0') tensor(0.6598, device='cuda:0')
93, NMSE : 0.0051727294921875, lr : 0.05
tensor(2.6940, device='cuda:0') tensor(0.6798, device='cuda:0')
94, NMSE : 0.00518035888671875, lr : 0.05
tensor(2.7373, device='cuda:0') tensor(0.6587, device='cuda:0')
